,geometry
94,"POLYGON ((194.625 45.875, 194.625 46.125, 194.375 46.125, 194.375 45.875, 194.625 45.875))"
95,"POLYGON ((194.875 45.875, 194.875 46.125, 194.625 46.125, 194.625 45.875, 194.875 45.875))"
96,"POLYGON ((195.125 45.875, 195.125 46.125, 194.875 46.125, 194.875 45.875, 195.125 45.875))"
97,"POLYGON ((195.375 45.875, 195.375 46.125, 195.125 46.125, 195.125 45.875, 195.375 45.875))"
98,"POLYGON ((195.625 45.875, 195.625 46.125, 195.375 46.125, 195.375 45.875, 195.625 45.875))"
99,"POLYGON ((195.875 45.875, 195.875 46.125, 195.625 46.125, 195.625 45.875, 195.875 45.875))"
100,"POLYGON ((196.125 45.875, 196.125 46.125, 195.875 46.125, 195.875 45.875, 196.125 45.875))"
101,"POLYGON ((196.375 45.875, 196.375 46.125, 196.125 46.125, 196.125 45.875, 196.375 45.875))"
102,"POLYGON ((196.625 45.875, 196.625 46.125, 196.375 46.125, 196.375 45.875, 196.625 45.875))"
103,"POLYGON ((196.875 45.875, 196.875 46.125, 196.625 46.125, 196.625 45.875, 196.875 45.875))"
104,"POLYGON ((197.125 45.875, 197.125 46.125, 196.875 46.125, 196.875 45.875, 197.125 45.875))"
105,"POLYGON ((197.375 45.875, 197.375 46.125, 197.125 46.125, 197.125 45.875, 197.375 45.875))"
106,"POLYGON ((197.625 45.875, 197.625 46.125, 197.375 46.125, 197.375 45.875, 197.625 45.875))"
107,"POLYGON ((197.875 45.875, 197.875 46.125, 197.625 46.125, 197.625 45.875, 197.875 45.875))"
108,"POLYGON ((198.125 45.875, 198.125 46.125, 197.875 46.125, 197.875 45.875, 198.125 45.875))"
109,"POLYGON ((198.375 45.875, 198.375 46.125, 198.125 46.125, 198.125 45.875, 198.375 45.875))"
110,"POLYGON ((198.625 45.875, 198.625 46.125, 198.375 46.125, 198.375 45.875, 198.625 45.875))"
111,"POLYGON ((198.875 45.875, 198.875 46.125, 198.625 46.125, 198.625 45.875, 198.875 45.875))"
112,"POLYGON ((199.125 45.875, 199.125 46.125, 198.875 46.125, 198.875 45.875, 199.125 45.875))"
113,"POLYGON ((199.375 45.875, 199.375 46.125, 199.125 46.125, 199.125 45.875, 199.375 45.875))"
114,"POLYGON ((199.625 45.875, 199.625 46.125, 199.375 46.125, 199.375 45.875, 199.625 45.875))"
115,"POLYGON ((199.875 45.875, 199.875 46.125, 199.625 46.125, 199.625 45.875, 199.875 45.875))"
116,"POLYGON ((200.125 45.875, 200.125 46.125, 199.875 46.125, 199.875 45.875, 200.125 45.875))"
117,"POLYGON ((200.375 45.875, 200.375 46.125, 200.125 46.125, 200.125 45.875, 200.375 45.875))"
118,"POLYGON ((200.625 45.875, 200.625 46.125, 200.375 46.125, 200.375 45.875, 200.625 45.875))"
119,"POLYGON ((200.875 45.875, 200.875 46.125, 200.625 46.125, 200.625 45.875, 200.875 45.875))"
120,"POLYGON ((201.125 45.875, 201.125 46.125, 200.875 46.125, 200.875 45.875, 201.125 45.875))"
121,"POLYGON ((201.375 45.875, 201.375 46.125, 201.125 46.125, 201.125 45.875, 201.375 45.875))"
122,"POLYGON ((201.625 45.875, 201.625 46.125, 201.375 46.125, 201.375 45.875, 201.625 45.875))"
123,"POLYGON ((201.875 45.875, 201.875 46.125, 201.625 46.125, 201.625 45.875, 201.875 45.875))"
124,"POLYGON ((202.125 45.875, 202.125 46.125, 201.875 46.125, 201.875 45.875, 202.125 45.875))"
125,"POLYGON ((202.375 45.875, 202.375 46.125, 202.125 46.125, 202.125 45.875, 202.375 45.875))"
126,"POLYGON ((202.625 45.875, 202.625 46.125, 202.375 46.125, 202.375 45.875, 202.625 45.875))"
127,"POLYGON ((202.875 45.875, 202.875 46.125, 202.625 46.125, 202.625 45.875, 202.875 45.875))"
128,"POLYGON ((203.125 45.875, 203.125 46.125, 202.875 46.125, 202.875 45.875, 203.125 45.875))"
129,"POLYGON ((203.375 45.875, 203.375 46.125, 203.125 46.125, 203.125 45.875, 203.375 45.875))"
